donor_type	acceptor_type	donor	acceptor	R0
ATTO	AlexaFluor	550	488	1.5786775860158881
ATTO	AlexaFluor	550	514	2.895656108664467
ATTO	AlexaFluor	550	532	4.047645609686533
ATTO	AlexaFluor	550	546	5.964314748678084
ATTO	AlexaFluor	550	555	5.601959786807877
ATTO	AlexaFluor	550	568	6.376185554581298
ATTO	AlexaFluor	550	594	6.4798046329412475
ATTO	AlexaFluor	550	610	6.6917467937742146
ATTO	AlexaFluor	550	633	6.727307433400758
ATTO	AlexaFluor	550	635	6.524339663887846
ATTO	AlexaFluor	550	647	7.008854448513969
ATTO	AlexaFluor	550	660	6.910042805082456
ATTO	AlexaFluor	550	680	6.562256182018333
ATTO	AlexaFluor	550	700	6.513233653584878
ATTO	AlexaFluor	550	750	6.101037356839994
ATTO	AlexaFluor	550	790	5.394937955254103
ATTO	ATTO	550	550	5.562478387477251
ATTO	ATTO	550	647N	6.322203688150123
ATTO	AlexaFluor	647N	430	0.32150037688032707
ATTO	AlexaFluor	647N	514	0.4335500501927189
ATTO	AlexaFluor	647N	532	2.7088763875378574
ATTO	AlexaFluor	647N	546	3.336219563826166
ATTO	AlexaFluor	647N	555	0.5713646070357553
ATTO	AlexaFluor	647N	568	1.9292918305755213
ATTO	AlexaFluor	647N	594	3.1514175138174227
ATTO	AlexaFluor	647N	610	3.665194199889323
ATTO	AlexaFluor	647N	633	5.687984104123257
ATTO	AlexaFluor	647N	635	5.560963590250972
ATTO	AlexaFluor	647N	647	7.5591876879078495
ATTO	AlexaFluor	647N	660	7.393954903958612
ATTO	AlexaFluor	647N	680	7.8535044073131965
ATTO	AlexaFluor	647N	700	7.946757059992144
ATTO	AlexaFluor	647N	750	8.044572535742606
ATTO	AlexaFluor	647N	790	7.2388022536038665
ATTO	ATTO	647N	550	1.346605323183973
ATTO	ATTO	647N	647N	6.549991246713826
